Jahr-Halbjahr	Umbauprojekte mit Schlagwort "Umbau/Sanierung/Renovation"	Betroffene Projekte mit Schlagwort "Umbau/Sanierung/Renovation"	Nicht betroffene Projekte mit Schlagwort "Umbau/Sanierung/Renovation"
2018-H1	98	50	48
2018-H2	121	62	59
2019-H1	113	60	53
2019-H2	106	57	49
2020-H1	109	54	55
2020-H2	116	52	64
2021-H1	155	81	74
2021-H2	164	83	81
2022-H1	161	113	48
2022-H2	81	26	55
2023-H1	88	27	61
2023-H2	83	33	50
2024-H1	92	39	53
2024-H2	68	35	33
