Jahr	MÃ¤nner	Frauen	Total
2011	1561	4004	5565
2012	1672	4281	5953
2013	1521	4016	5537
2014	1569	4108	5677
2015	1633	4256	5889
2016	1750	4441	6191
2017	1725	4484	6209
2018	1738	4593	6331
2019	1818	4736	6554
2020	1881	4839	6720
